  ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,
(Intercept) ,3.864*** ,3.782*** ,3.653*** ,3.868*** ,3.841*** ,3.762*** ,3.696*** ,3.583*** ,3.494*** ,-0.602,0.456,-7.066,-8.065,-6.02,4.883,2.941,-0.671,3.617,3.721*** ,3.713*** ,3.668*** ,3.717*** ,3.641*** ,3.631*** ,3.655*** ,3.643*** ,3.648*** ,3.501,6.289,4.463,4.293,7.82,8.276,7.284,4.602,5.794,
  ,-0.298,-0.305,-0.303,-0.29,-0.288,-0.288,-0.287,-0.285,-0.285,-14.114,-18.045,-17.25,-14.994,-14.733,-14.175,-13.38,-14.263,-13.145,-0.227,-0.226,-0.222,-0.227,-0.222,-0.223,-0.217,-0.213,-0.217,-14.722,-14.958,-17.049,-18.299,-18.208,-16.943,-14.633,-14.953,-13.711,
jan2016reduc ,-0.038, , , , , , , , ,0.018, , , , , , , , ,-0.117, , , , , , , , ,-0.133, , , , , , , , ,
  ,-0.281, , , , , , , , ,-0.289, , , , , , , , ,-0.258, , , , , , , , ,-0.266, , , , , , , , ,
jan2016reduc_yellow ,-0.565* , , , , , , , , ,-0.58* , , , , , , , , ,-0.001, , , , , , , , ,-0.014, , , , , , , , ,
  ,-0.3, , , , , , , , ,-0.307, , , , , , , , ,-0.275, , , , , , , , ,-0.278, , , , , , , , ,
jan2017reduc ,0.018, , , , , , , , ,0.007, , , , , , , , ,0.029, , , , , , , , ,0.023, , , , , , , , ,
  ,-0.12, , , , , , , , ,-0.128, , , , , , , , ,-0.12, , , , , , , , ,-0.129, , , , , , , , ,
jan2017reduc_yellow ,-0.136, , , , , , , , ,-0.135, , , , , , , , ,-0.182, , , , , , , , ,-0.182, , , , , , , , ,
  ,-0.152, , , , , , , , ,-0.152, , , , , , , , ,-0.157, , , , , , , , ,-0.157, , , , , , , , ,
lead(jan2016reduc,,-0.142, , , , , , , , ,-0.074, , , , , , , , ,-0.123, , , , , , , , ,-0.141, , , , , , , ,
  ,,-0.289, , , , , , , , ,-0.306, , , , , , , , ,-0.248, , , , , , , , ,-0.26, , , , , , , ,
lead(jan2016reduc_yellow,,-0.208, , , , , , , , ,-0.129, , , , , , , , ,0.031, , , , , , , , ,0.034, , , , , , , ,
  ,,-0.298, , , , , , , , ,-0.308, , , , , , , , ,-0.267, , , , , , , , ,-0.274, , , , , , , ,
lead(jan2017reduc,,0.012, , , , , , , , ,0.033, , , , , , , , ,0.027, , , , , , , , ,0.032, , , , , , , ,
  ,,-0.133, , , , , , , , ,-0.143, , , , , , , , ,-0.121, , , , , , , , ,-0.128, , , , , , , ,
lead(jan2017reduc_yellow,,-0.198, , , , , , , , ,-0.199, , , , , , , , ,-0.2, , , , , , , , ,-0.201, , , , , , , ,
  ,,-0.152, , , , , , , , ,-0.152, , , , , , , , ,-0.157, , , , , , , , ,-0.157, , , , , , , ,
lead(jan2016reduc,, ,-0.108, , , , , , , , ,0.006, , , , , , , , ,-0.094, , , , , , , , ,-0.101, , , , , , ,
  ,, ,-0.242, , , , , , , , ,-0.237, , , , , , , , ,-0.213, , , , , , , , ,-0.223, , , , , , ,
lead(jan2016reduc_yellow,, ,0.015, , , , , , , , ,0.079, , , , , , , , ,0.072, , , , , , , , ,0.092, , , , , , ,
  ,, ,-0.25, , , , , , , , ,-0.253, , , , , , , , ,-0.235, , , , , , , , ,-0.239, , , , , , ,
lead(jan2017reduc,, ,-0.005, , , , , , , , ,0.015, , , , , , , , ,0.029, , , , , , , , ,0.035, , , , , , ,
  ,, ,-0.144, , , , , , , , ,-0.143, , , , , , , , ,-0.13, , , , , , , , ,-0.14, , , , , , ,
lead(jan2017reduc_yellow,, ,-0.241, , , , , , , , ,-0.237, , , , , , , , ,-0.213, , , , , , , , ,-0.212, , , , , , ,
  ,, ,-0.155, , , , , , , , ,-0.155, , , , , , , , ,-0.16, , , , , , , , ,-0.16, , , , , , ,
lag(jan2016reduc,, , ,-0.019, , , , , , , , ,-0.056, , , , , , , , ,-0.081, , , , , , , , ,-0.143, , , , , ,
  ,, , ,-0.218, , , , , , , , ,-0.244, , , , , , , , ,-0.224, , , , , , , , ,-0.257, , , , , ,
lag(jan2016reduc_yellow,, , ,-0.657*** , , , , , , , , ,-0.661*** , , , , , , , , ,-0.098, , , , , , , , ,-0.098, , , , , ,
  ,, , ,-0.247, , , , , , , , ,-0.249, , , , , , , , ,-0.24, , , , , , , , ,-0.24, , , , , ,
lag(jan2017reduc,, , ,0.016, , , , , , , , ,0.019, , , , , , , , ,0.029, , , , , , , , ,0.042, , , , , ,
  ,, , ,-0.123, , , , , , , , ,-0.132, , , , , , , , ,-0.133, , , , , , , , ,-0.145, , , , , ,
lag(jan2017reduc_yellow,, , ,-0.008, , , , , , , , ,-0.074, , , , , , , , ,-0.086, , , , , , , , ,-0.103, , , , , ,
  ,, , ,-0.154, , , , , , , , ,-0.155, , , , , , , , ,-0.159, , , , , , , , ,-0.16, , , , , ,
lag(jan2016reduc,, , , ,-0.004, , , , , , , , ,0.063, , , , , , , , ,-0.025, , , , , , , , ,0.003, , , , ,
  ,, , , ,-0.188, , , , , , , , ,-0.197, , , , , , , , ,-0.194, , , , , , , , ,-0.211, , , , ,
lag(jan2016reduc_yellow,, , , ,-0.658*** , , , , , , , , ,-0.65*** , , , , , , , , ,-0.058, , , , , , , , ,-0.056, , , , ,
  ,, , , ,-0.224, , , , , , , , ,-0.225, , , , , , , , ,-0.22, , , , , , , , ,-0.22, , , , ,
lag(jan2017reduc,, , , ,0.015, , , , , , , , ,0.009, , , , , , , , ,0.032, , , , , , , , ,0.048, , , , ,
  ,, , , ,-0.125, , , , , , , , ,-0.134, , , , , , , , ,-0.133, , , , , , , , ,-0.148, , , , ,
lag(jan2017reduc_yellow,, , , ,0.064, , , , , , , , ,-0.004, , , , , , , , ,-0.054, , , , , , , , ,-0.075, , , , ,
  ,, , , ,-0.156, , , , , , , , ,-0.157, , , , , , , , ,-0.161, , , , , , , , ,-0.163, , , , ,
lag(jan2016reduc,, , , , ,-0.001, , , , , , , , ,0.072, , , , , , , , ,-0.02, , , , , , , , ,-0.005, , , ,
  ,, , , , ,-0.17, , , , , , , , ,-0.178, , , , , , , , ,-0.174, , , , , , , , ,-0.187, , , ,
lag(jan2016reduc_yellow,, , , , ,-0.558*** , , , , , , , , ,-0.57*** , , , , , , , , ,-0.049, , , , , , , , ,-0.054, , , ,
  ,, , , , ,-0.212, , , , , , , , ,-0.212, , , , , , , , ,-0.209, , , , , , , , ,-0.209, , , ,
lag(jan2017reduc,, , , , ,0.018, , , , , , , , ,0.003, , , , , , , , ,0.029, , , , , , , , ,0.037, , , ,
  ,, , , , ,-0.127, , , , , , , , ,-0.137, , , , , , , , ,-0.133, , , , , , , , ,-0.149, , , ,
lag(jan2017reduc_yellow,, , , , ,0.13, , , , , , , , ,0.043, , , , , , , , ,-0.043, , , , , , , , ,-0.071, , , ,
  ,, , , , ,-0.158, , , , , , , , ,-0.16, , , , , , , , ,-0.163, , , , , , , , ,-0.166, , , ,
lag(jan2016reduc,, , , , , ,-0.013, , , , , , , , ,0.031, , , , , , , , ,-0.037, , , , , , , , ,-0.025, , ,
  ,, , , , , ,-0.169, , , , , , , , ,-0.17, , , , , , , , ,-0.166, , , , , , , , ,-0.17, , ,
lag(jan2016reduc_yellow,, , , , , ,-0.47** , , , , , , , , ,-0.483** , , , , , , , , ,-0.073, , , , , , , , ,-0.08, , ,
  ,, , , , , ,-0.208, , , , , , , , ,-0.208, , , , , , , , ,-0.206, , , , , , , , ,-0.207, , ,
lag(jan2017reduc,, , , , , ,0.015, , , , , , , , ,-0.028, , , , , , , , ,0.013, , , , , , , , ,0.012, , ,
  ,, , , , , ,-0.126, , , , , , , , ,-0.133, , , , , , , , ,-0.127, , , , , , , , ,-0.136, , ,
lag(jan2017reduc_yellow,, , , , , ,0.231, , , , , , , , ,0.152, , , , , , , , ,-0.002, , , , , , , , ,-0.029, , ,
  ,, , , , , ,-0.157, , , , , , , , ,-0.159, , , , , , , , ,-0.162, , , , , , , , ,-0.165, , ,
lag(jan2016reduc,, , , , , , ,-0.01, , , , , , , , ,0, , , , , , , , ,-0.05, , , , , , , , ,-0.044, ,
  ,, , , , , , ,-0.168, , , , , , , , ,-0.168, , , , , , , , ,-0.164, , , , , , , , ,-0.165, ,
lag(jan2016reduc_yellow,, , , , , , ,-0.308, , , , , , , , ,-0.317, , , , , , , , ,-0.038, , , , , , , , ,-0.044, ,
  ,, , , , , , ,-0.205, , , , , , , , ,-0.205, , , , , , , , ,-0.203, , , , , , , , ,-0.204, ,
lag(jan2017reduc,, , , , , , ,0.014, , , , , , , , ,-0.078, , , , , , , , ,0.009, , , , , , , , ,-0.017, ,
  ,, , , , , , ,-0.126, , , , , , , , ,-0.141, , , , , , , , ,-0.126, , , , , , , , ,-0.142, ,
lag(jan2017reduc_yellow,, , , , , , ,0.295* , , , , , , , , ,0.224, , , , , , , , ,0.019, , , , , , , , ,-0.005, ,
  ,, , , , , , ,-0.157, , , , , , , , ,-0.159, , , , , , , , ,-0.162, , , , , , , , ,-0.165, ,
lag(jan2016reduc,, , , , , , , ,0.016, , , , , , , , ,0.009, , , , , , , , ,-0.041, , , , , , , , ,-0.043,
  ,, , , , , , , ,-0.167, , , , , , , , ,-0.167, , , , , , , , ,-0.164, , , , , , , , ,-0.164,
lag(jan2016reduc_yellow,, , , , , , , ,-0.205, , , , , , , , ,-0.21, , , , , , , , ,-0.066, , , , , , , , ,-0.069,
  ,, , , , , , , ,-0.202, , , , , , , , ,-0.202, , , , , , , , ,-0.201, , , , , , , , ,-0.201,
lag(jan2017reduc,, , , , , , , ,0.011, , , , , , , , ,-0.048, , , , , , , , ,0.006, , , , , , , , ,-0.016,
  ,, , , , , , , ,-0.127, , , , , , , , ,-0.134, , , , , , , , ,-0.127, , , , , , , , ,-0.135,
lag(jan2017reduc_yellow,, , , , , , , ,0.332** , , , , , , , , ,0.264* , , , , , , , , ,0.03, , , , , , , , ,0.005,
  ,, , , , , , , ,-0.158, , , , , , , , ,-0.16, , , , , , , , ,-0.163, , , , , , , , ,-0.165,
proccess_milk_products_p2012 ,, , , , , , , , ,0.073,0.132,0.186** ,-0.03,0.076,0.111,0.139* ,0.164,0.121, , , , , , , , , ,-0.006,-0.004,0.019,-0.058,0.013,0.02,0.025,0.048,0.044,
  ,, , , , , , , , ,-0.081,-0.101,-0.094,-0.097,-0.085,-0.089,-0.084,-0.1,-0.09, , , , , , , , , ,-0.084,-0.083,-0.093,-0.119,-0.106,-0.107,-0.092,-0.106,-0.094,
lvalue_added_tax ,, , , , , , , , ,-10.977,6.021,22.294,74.237*** ,50.145** ,35.53,27.029,22.237,21.056, , , , , , , , , ,-6.472,-5.764,-1.04,26.083,7.891,6.992,6.079,3.852,3.697,
  ,, , , , , , , , ,-25.177,-30.285,-30.406,-26.974,-25.52,-24.634,-24.423,-24.425,-24.396, , , , , , , , , ,-25.201,-25.478,-29.651,-31.348,-29.717,-27.747,-25.506,-24.619,-24.581,
lsalary_industry_worker ,, , , , , , , , ,-0.074,-1.094,-1.153,0.237,-0.625,-1.87* ,-1.803* ,-1.593* ,-1.597* , , , , , , , , , ,0.201,-0.122,-0.253,0.059,-0.715,-0.814,-0.744,-0.655,-0.735,
  ,, , , , , , , , ,-1.122,-1.355,-1.286,-1.131,-1.089,-0.973,-0.952,-0.954,-0.951, , , , , , , , , ,-1.171,-1.127,-1.274,-1.385,-1.348,-1.166,-1.044,-1.001,-0.998,
lead(jan2016reduc,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
  ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
lead(jan2016reduc_yellow,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
  ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
lead(jan2017reduc,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
  ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
lead(jan2017reduc_yellow,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
  ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
lead(jan2016reduc,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
  ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
lead(jan2016reduc_yellow,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
  ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
lead(jan2017reduc,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
  ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
lead(jan2017reduc_yellow,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
  ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
lag(jan2016reduc,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
  ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
lag(jan2016reduc_yellow,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
  ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
lag(jan2017reduc,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
  ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
lag(jan2017reduc_yellow,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
  ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
lag(jan2016reduc,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
  ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
lag(jan2016reduc_yellow,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
  ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
lag(jan2017reduc,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
  ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
lag(jan2017reduc_yellow,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
  ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
lag(jan2016reduc,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
  ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
lag(jan2016reduc_yellow,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
  ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
lag(jan2017reduc,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
  ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
