,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
  ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net 
(Intercept) ,3.178*** ,3.19*** ,3.134*** ,3.125*** ,3.108*** ,3.095*** ,3.097*** ,3.091*** ,3.075*** ,5.54,6.453,4.048,4.958,3.923,2.979,2.592,3.13,2.898,2.634*** ,2.653*** ,2.562*** ,2.609*** ,2.623*** ,2.62*** ,2.622*** ,2.618*** ,2.6*** ,4.447,6.588,2.2,1.564,2.399,5.912,5.463,3.658,5.597
  ,-0.473,-0.442,-0.445,-0.494,-0.446,-0.304,-0.303,-0.301,-0.302,-44.443,-34.059,-32.842,-58.549,-45.671,-9.529,-9.912,-10.16,-9.828,-0.334,-0.34,-0.323,-0.348,-0.339,-0.279,-0.272,-0.268,-0.27,-26.367,-24.626,-20.465,-33.37,-29.333,-11.427,-10.581,-10.525,-11.341
jan2016reduc ,-0.312, , , , , , , , ,-0.31, , , , , , , , ,-0.293, , , , , , , , ,-0.307, , , , , , , , 
  ,-0.502, , , , , , , , ,-0.533, , , , , , , , ,-0.346, , , , , , , , ,-0.367, , , , , , , , 
jan2016reduc_olive ,0.331, , , , , , , , ,0.347, , , , , , , , ,0.421, , , , , , , , ,0.376, , , , , , , , 
  ,-0.29, , , , , , , , ,-0.289, , , , , , , , ,-0.298, , , , , , , , ,-0.28, , , , , , , , 
jan2017reduc ,0.054, , , , , , , , ,0.056, , , , , , , , ,0.098, , , , , , , , ,0.089, , , , , , , , 
  ,-0.314, , , , , , , , ,-0.354, , , , , , , , ,-0.188, , , , , , , , ,-0.219, , , , , , , , 
jan2017reduc_olive ,-0.038, , , , , , , , ,-0.037, , , , , , , , ,-0.185, , , , , , , , ,-0.22* , , , , , , , , 
