  ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,
(Intercept) ,3.648*** ,3.649*** ,3.655*** ,3.654*** ,3.666*** ,3.67*** ,3.666*** ,3.661*** ,3.642*** ,5.054*** ,4.989*** ,4.567*** ,4.258*** ,3.869*** ,4.424*** ,4.063*** ,3.897*** ,4.333*** ,3.126*** ,3.059*** ,3.076*** ,3.173*** ,3.221*** ,3.238*** ,3.225*** ,3.222*** ,3.2*** ,4.056,3.755,5.107** ,0.778,1.785,9.813*** ,9.774*** ,5.463** ,9.282*** ,
  ,-0.036,-0.035,-0.039,-0.038,-0.04,-0.04,-0.04,-0.04,-0.04,-1.294,-1.26,-1.262,-1.431,-1.339,-1.172,-1.201,-1.288,-1.229,-0.06,-0.063,-0.058,-0.062,-0.064,-0.064,-0.064,-0.064,-0.063,-2.549,-2.455,-2.466,-2.823,-2.633,-2.32,-2.389,-2.534,-2.456,
jan2016reduc ,-0.014, , , , , , , , ,-0.016, , , , , , , , ,0.041* , , , , , , , , ,0.001, , , , , , , , ,
  ,-0.012, , , , , , , , ,-0.014, , , , , , , , ,-0.024, , , , , , , , ,-0.028, , , , , , , , ,
jan2017reduc ,0.015* , , , , , , , , ,0.007, , , , , , , , ,-0.123*** , , , , , , , , ,-0.14*** , , , , , , , , ,
  ,-0.008, , , , , , , , ,-0.01, , , , , , , , ,-0.016, , , , , , , , ,-0.02, , , , , , , , ,
lead(jan2016reduc, 1) , ,-0.011, , , , , , , , ,-0.007, , , , , , , , , ,0.103*** , , , , , , , , ,0.086*** , , , , , , 
  , ,-0.012, , , , , , , , ,-0.014, , , , , , , , , ,-0.024, , , , , , , , ,-0.027, , , , , , ,
lead(jan2017reduc, 1) , ,0.007, , , , , , , , ,0.001, , , , , , , , , ,-0.134*** , , , , , , , , ,-0.136*** , , , , , , 
  , ,-0.008, , , , , , , , ,-0.009, , , , , , , , , ,-0.016, , , , , , , , ,-0.018, , , , , , ,
